Word;F2;Original Word;ID;Code;Attribute;Org. Attr
ઊંટિયાજીરું, ઊંટિયુંજીરું;ઊંટિયાજીરું, ઊંટિયુંજીરું;ઊંટિયાજીરું, ઊંટિયુંજીરું;166863.00;3.00;ન.;ન.
ઊઠ(-ઠુ);ઊઠ(-ઠુ);ઊઠ(-ઠુ);166585.00;10.00;વિ.;વિ.
ઊડકવું, ઊડકાવું;ઊડકવું, ઊડકાવું;ઊડકવું, ઊડકાવું;166593.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊંડળ;ઊંડળ1;ઊંડળ1;166868.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊંડળ;ઊંડળ2;ઊંડળ2;166869.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊડાઊડ(-ડી);ઊડાઊડ(-ડી);ઊડાઊડ(-ડી);166610.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊંડાણ, ઊંડાપણું;ઊંડાણ, ઊંડાપણું;ઊંડાણ, ઊંડાપણું;166872.00;3.00;ન.;ન.
ઊડેલ(-લું);ઊડેલ(-લું);ઊડેલ(-લું);166613.00;10.00;વિ.;વિ.
ઊણપ(-મ);ઊણપ(-મ);ઊણપ(-મ);166618.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊતરેલ(-લું);ઊતરેલ(-લું);ઊતરેલ(-લું);166633.00;10.00;વિ.;વિ.
ઊથલવું, ઊથલાવું;ઊથલવું, ઊથલાવું;ઊથલવું, ઊથલાવું;166643.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊંદરકણિયું, ઊંદરકણી;ઊંદરકણિયું, ઊંદરકણી;ઊંદરકણિયું, ઊંદરકણી;166876.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊંદરકની, ઊંદરકરણી, ઊંદરકાની;ઊંદરકની, ઊંદરકરણી, ઊંદરકાની;ઊંદરકની, ઊંદરકરણી, ઊંદરકાની;166877.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊંધકરમું, ઊંધખોદિયું;ઊંધકરમું, ઊંધખોદિયું;ઊંધકરમું, ઊંધખોદિયું;166881.00;10.00;વિ.;વિ.
ઊધરવું;ઊધરવું1;ઊધરવું1;166655.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊધરવું, ઊધરાવું;ઊધરવું2, ઊધરાવું;ઊધરવું2, ઊધરાવું;166656.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊંધાંધળું ;ઊંધાંધળું ();ઊંધાંધળું ();166885.00;10.00;વિ.;વિ.
ઊંધુંચતું, ઊંધુંછતું;ઊંધુંચતું, ઊંધુંછતું;ઊંધુંચતું, ઊંધુંછતું;166889.00;10.00;વિ.;વિ.
ઊન;ઊન1;ઊન1;166658.00;10.00;વિ.;વિ.
ઊન;ઊન2;ઊન2;166659.00;3.00;ન.;સ્ત્રી., ન.
ઊન;ઊન2;ઊન2;166659.00;7.00;સ્ત્રી.;સ્ત્રી., ન.
ઊનતા(-મ);ઊનતા(-મ);ઊનતા(-મ);166661.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊનવા;ઊનવા (ન’);ઊનવા (ન’);166664.00;5.00;પું.;પું.
ઊનવાવું;ઊનવાવું (ન’);ઊનવાવું (ન’);166665.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊનું;ઊનું (નું’);ઊનું (નું’);166669.00;10.00;વિ.;વિ.
ઊપણું;ઊપણું1;ઊપણું1;166681.00;3.00;ન.;ન.
ઊપણું(-ળું);ઊપણું2(-ળું);ઊપણું2(-ળું);166682.00;3.00;ન.;ન.
ઊપસવું, ઊપસાવું;ઊપસવું, ઊપસાવું;ઊપસવું, ઊપસાવું;166684.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊબ;ઊબ1;ઊબ1;166687.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊબ;ઊબ2;ઊબ2;166688.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊબટ(-ઠ્ઠું);ઊબટ(-ઠ્ઠું);ઊબટ(-ઠ્ઠું);166691.00;10.00;વિ.;વિ.
ઊબળવું, ઊભળવું;ઊબળવું, ઊભળવું;ઊબળવું, ઊભળવું;166697.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊભ(+ટ);ઊભ,ટ;ઊભ,ટ;166698.00;10.00;વિ.;વિ.
ઊભરવું, ઊભરાવું;ઊભરવું, ઊભરાવું;ઊભરવું, ઊભરાવું;166704.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊમટવું, ઊમડવું;ઊમટવું, ઊમડવું;ઊમટવું, ઊમડવું;166713.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊર્ણનાભ(-ભિ);ઊર્ણનાભ(-ભિ);ઊર્ણનાભ(-ભિ);166732.00;5.00;પું.;પું.
ઊર્ધ્વપત્ર(-ત્રી);ઊર્ધ્વપત્ર(-ત્રી);ઊર્ધ્વપત્ર(-ત્રી);166741.00;3.00;ન.;ન.
ઊર્ધ્વપાણિ, ઊર્ધ્વબાહુ;ઊર્ધ્વપાણિ, ઊર્ધ્વબાહુ;ઊર્ધ્વપાણિ, ઊર્ધ્વબાહુ;166743.00;10.00;વિ.;વિ.
ઊર્ધ્વરેત(-તા, -સ);ઊર્ધ્વરેત(-તા, સ);ઊર્ધ્વરેત(-તા, સ);166748.00;10.00;વિ.;વિ.
ઊર્મિક, ઊર્મિકાવ્ય, ઊર્મિગીત;ઊર્મિક, ઊર્મિકાવ્ય, ઊર્મિગીત;ઊર્મિક, ઊર્મિકાવ્ય, ઊર્મિગીત;166758.00;3.00;ન.;ન.
ઊર્મિમત્‌, ઊર્મિમાન;ઊર્મિમત્‌, ઊર્મિમાન;ઊર્મિમત્‌, ઊર્મિમાન;166760.00;10.00;વિ.;વિ.
ઊલ;ઊલ1;ઊલ1;166765.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊલ;ઊલ2;ઊલ2;166766.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊલક;ઊલક (લ’);ઊલક (લ’);166767.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊલકો(-ખો);ઊલકો(-ખો) (લ’);ઊલકો(-ખો) (લ’);166769.00;5.00;પું.;પું.
ઊલઝવું, ઊલઝાવું;ઊલઝવું, ઊલઝાવું;ઊલઝવું, ઊલઝાવું;166770.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊલટ;ઊલટ1;ઊલટ1;166771.00;10.00;વિ.;વિ.
ઊલટ;ઊલટ2;ઊલટ2;166772.00;7.00;સ્ત્રી.;સ્ત્રી.
ઊલટપાલટ, ઊલટપૂલટ;ઊલટપાલટ, ઊલટપૂલટ;ઊલટપાલટ, ઊલટપૂલટ;166776.00;10.00;વિ.;વિ.
ઊલટભર, ઊલટભેર;ઊલટભર, ઊલટભેર;ઊલટભર, ઊલટભેર;166777.00;1.00;અ.;અ.
ઊલટસૂલટ, ઊલટાસૂલટી;ઊલટસૂલટ, ઊલટાસૂલટી;ઊલટસૂલટ, ઊલટાસૂલટી;166781.00;10.00;વિ.;વિ.
ઊલવું;ઊલવું (લ’);ઊલવું (લ’);166787.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊલળવું;ઊલળવું (લ’);ઊલળવું (લ’);166790.00;2.00;અ. ક્રિ.;અ. ક્રિ.
ઊહ;ઊહ1;ઊહ1;166810.00;5.00;પું.;પું.
ઊહ;ઊહ2;ઊહ2;166811.00;1.00;અ.;અ.
ઋક(-ચ, -ચા);ઋક(-ચ, -ચા);ઋક(-ચ, -ચા);167657.00;7.00;સ્ત્રી.;સ્ત્રી.
ઋક્ષપતિ, ઋક્ષરાજ;ઋક્ષપતિ, ઋક્ષરાજ;ઋક્ષપતિ, ઋક્ષરાજ;167661.00;5.00;પું.;પું.
ઋચ(-ચા);ઋચ(-ચા);ઋચ(-ચા);167669.00;7.00;સ્ત્રી.;સ્ત્રી.
ઋણવિદ્યુત, ઋણવીજ;ઋણવિદ્યુત, ઋણવીજ;ઋણવિદ્યુત, ઋણવીજ;167683.00;7.00;સ્ત્રી.;સ્ત્રી.
ઋણિયું, ઋણી;ઋણિયું, ઋણી;ઋણિયું, ઋણી;167690.00;10.00;વિ.;વિ.
ઋતુકાલ(-ળ);ઋતુકાલ(-ળ);ઋતુકાલ(-ળ);167698.00;5.00;પું.;પું.
ઋષિકુલ(-ળ);ઋષિકુલ(-ળ);ઋષિકુલ(-ળ);167726.00;3.00;ન.;ન.
ઍંગ્લો-ઇંડિયન;ઍંગ્લો-ઇંડિયન;ઍંગ્લો-ઇંડિયન;167635.00;5.00;પું.;પું.
ઍજન્ડા, ઍજેન્ડા;ઍજન્ડા, ઍજેન્ડા;ઍજન્ડા, ઍજેન્ડા;167292.00;5.00;પું.;પું.
ઍબ્સન્ટ-માઇન્ડેડ;ઍબ્સન્ટ-માઇન્ડેડ;ઍબ્સન્ટ-માઇન્ડેડ;167464.00;10.00;વિ.;વિ.
ઍમ્પ(-મ્પેર);ઍમ્પ, -મ્પેર;ઍમ્પ, -મ્પેર;167481.00;5.00;પું.;પું.
